"시점",출생아수(명),합계출산율(명)
"1970",1006645,4.530
"1971",1024773,4.540
"1972",952780,4.120
"1973",965521,4.070
"1974",922823,3.770
"1975",874030,3.430
"1976",796331,3.000
"1977",825339,2.990
"1978",750728,2.640
"1979",862669,2.900
"1980",862835,2.820
"1981",867409,2.570
"1982",848312,2.390
"1983",769155,2.060
"1984",674793,1.740
"1985",655489,1.660
"1986",636019,1.580
"1987",623831,1.530
"1988",633092,1.550
"1989",639431,1.560
"1990",649738,1.570
"1991",709275,1.710
"1992",730678,1.760
"1993",715826,1.654
"1994",721185,1.656
"1995",715020,1.634
"1996",691226,1.574
"1997",675394,1.537
"1998",641594,1.464
"1999",620668,1.425
"2000",640089,1.480
"2001",559934,1.309
"2002",496911,1.178
"2003",495036,1.191
"2004",476958,1.164
"2005",438707,1.085
"2006",451759,1.132
"2007",496822,1.259
"2008",465892,1.192
"2009",444849,1.149
"2010",470171,1.226
"2011",471265,1.244
"2012",484550,1.297
"2013",436455,1.187
"2014",435435,1.205
"2015",438420,1.239
"2016",406243,1.172
"2017",357771,1.052
"2018",326822,0.977
"2019",302676,0.918
"2020",272337,0.837
"2021",260562,0.808
"2022",249186,0.778
"2023 p)",230000,0.720
